Type,Index,Name,Artists,Album,Release Date
Saved Track,1,Yaen Ennai Pirindhaai,Sid Sriram,Adithya Varma,2019-09-30
Saved Track,2,The Memory Remains,"Metallica, Marianne Faithfull",Reload,1997-01-01
Saved Track,3,Maula Maula,"Kunal Ganjawala, Richa Sharma",Singham,2011-06-27
Saved Track,4,Sang Rahiyo,Jasleen Royal,Sang Rahiyo,2020-09-10
Saved Track,5,Ondu Maathali,Sanjith Hegde,Padde Huli (Original Motion Picture Soundtrack),2019-02-16
Saved Track,6,Surili Akhiyon Wale,"Rahat Fateh Ali Khan, Suzanne D'Mello",Veer (Original Motion Picture Soundtrack),2009-01-22
Saved Track,7,Matthe Maleyagide,"Sonu Nigam, Shreya Ghoshal",Chakravarthy,2017-01-15
Saved Track,8,"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]","Mithoon, Arijit Singh","Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]",2020-01-10
Saved Track,9,Pagal,Gurnam Bhullar,Pagal,2019-09-13
Saved Track,10,Long time no see,"Taimour Baig, Raffey Anwar, AUR",Long time no see,2023-07-16
