Type,Index,Name,Artists,Album,Release Date
Top Track,1,Super Charger Heaven,White Zombie,Loudest Metal Ever,2018-03-30
Top Track,2,The Memory Remains,"Metallica, Marianne Faithfull",Reload,1997-01-01
Top Track,3,Goddamn Electric,Pantera,Play Loud: Metal,2021-09-17
Top Track,4,Yaen Ennai Pirindhaai,Sid Sriram,Adithya Varma,2019-09-30
Top Track,5,"Chhaila (From ""Bhoomi 2024"")","Salim–Sulaiman, Shreya Ghoshal, Sunidhi Chauhan","Chhaila (From ""Bhoomi 2024"")",2024-10-14
Top Track,6,Nee Sanihake Bandare,Sonu Nigam,Nee Sanihake Bandare,2023-03-13
Top Track,7,Aashiq Tera,"Altamash Faridi, Sohail Sen, Mudassar Aziz",Happy Bhag Jayegi (Original Motion Picture Soundtrack),2016-07-28
Top Track,8,Sanam Teri Kasam,"Ankit Tiwari, Palak Muchhal",Sanam Teri Kasam (Original Motion Picture Soundtrack),2016-01-06
Top Track,9,God Damn,"Badshah, Karan Aujla, Hiten",Ek Tha Raja,2024-03-18
Top Track,10,"Maleye Maleye - From ""Salaga""","Sanjith Hegde, Aishwarya Rangarajan, Charanraj MR","Maleye Maleye (From ""Salaga"")",2020-09-05
Top Track,11,COME THROUGH (feat. Abdullah Maharvi & Talha Anjum),"Umair, Abdullah Maharvi, Talha Anjum",ROCKSTAR WITHOUT A GUITAR,2024-04-25
Top Track,12,Hola At Your Boy,"Badshah, KR$NA, Prajina",Ek Tha Raja,2024-03-18
Top Track,13,"Mudhal Nee Mudivum Nee Title Track (From ""Mudhal Nee Mudivum Nee"")","Darbuka Siva, Sid Sriram","Mudhal Nee Mudivum Nee Title Track (From ""Mudhal Nee Mudivum Nee"")",2020-09-02
Top Track,14,Deeper Than It Seems,Jace June,Deeper Than It Seems,2022-12-02
Top Track,15,Hoovina Santhege,"Sonu Nigam, Shreya Ghoshal",Lucky (Original Motion Picture Soundtrack),2012-01-16
